decimalLongitude,decimalLatitude,Elevation,ParamoComplex,Department,Locality,clusters,unique_locality
-75.808167,4.101,3625,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Genova: Vda. San Juan, Fca. Miravalle",4,CBG_41
-75.576631,4.437231,3530,Complejo de Paramos Chili-Barragan (CBG),Tolima,"Tolima: Cajamarca: Vda. El Tunel, Sector El CampanaRio",1,CBG_42
-75.807667,3.983944,3120,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",1,CBG_43
-75.798556,3.9985560000000002,3520,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",1,CBG_44
-75.8065,3.996028,3120,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",1,CBG_45
-75.80475,4.013667,3220,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",2,CBG_46
-75.802667,4.001,3320,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",1,CBG_47
-75.803083,4.001,3320,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",1,CBG_48
-75.798417,4.000806,3520,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",1,CBG_49
-75.801167,4.000917,3420,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",1,CBG_50
-75.79985,4.08985,3625,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",1,CBG_51
-75.800417,4.090367,3625,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",1,CBG_52
-75.800639,4.088217,3625,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",1,CBG_53
-75.8039,4.088983,3625,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",1,CBG_54
-73.780722,4.7605,3250,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guasca: Vda. La Concepcion, BioAndina",4,CHG_55
-73.778,4.772722,3000,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guasca: Vda. La Concepcion, BioAndina",4,CHG_56
-73.86375,4.732139,3500,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guasca: Vda. Rincon del Oso, Fca. Suasie",2,CHG_57
-73.866167,4.71725,3090,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guasca: Vda. Rincon del Oso, Fca. Suasie",4,CHG_58
-73.76225,4.895933,3250,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guatavita: Vda. Monquentiva, Pantano de Martos",4,CHG_59
-73.730444,4.908583,3030,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guatavita: Vda. Monquentiva, Pantano de Martos",4,CHG_60
-73.726089,4.9015,2940,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guatavita: Vda. Monquentiva, Pantano de Martos",4,CHG_61
-73.935514,4.648025,3340,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: La Calera: Vda. Jerusalen, Hacienda Terraleja",2,CHG_62
-73.934044,4.645506,3420,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: La Calera: Vda. Jerusalen, Hacienda Terraleja",2,CHG_63
-73.785194,4.970639,3230,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Sesquile: Vda. Chaleche, Fca. Rodamonte",4,CHG_64
-73.787194,4.972444,3150,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Sesquile: Vda. Chaleche, Fca. Rodamonte",4,CHG_65
-75.907111,5.477666,2850,Complejo de Paramos Citara (CTR),Risaralda,"Risaralda: Mistrato: Sitio Cerro Paramillo, Complejo paramuno Citara",3,CTR_66
-75.906720000000007,5.476513,2710,Complejo de Paramos Citara (CTR),Risaralda,"Risaralda: Mistrato: Sitio Cerro Paramillo, Complejo paramuno Citara",3,CTR_67
-75.907246,5.476941,2780,Complejo de Paramos Citara (CTR),Risaralda,"Risaralda: Mistrato: Sitio Cerro Paramillo, Complejo paramuno Citara",3,CTR_68
-76.82775,1.704306,3400,Complejo de Paramos Dona Juana-Chimayoy (DJP),Cauca,"Cauca: Bolivar: San Juan, Vda. Belen, Cerro El Banco",1,DJP_69
-76.834889,1.716472,3070,Complejo de Paramos Dona Juana-Chimayoy (DJP),Cauca,"Cauca: Bolivar: San Juan, Vda. Belen, Cerro El Banco",3,DJP_70
-76.823611,1.695694,3550,Complejo de Paramos Dona Juana-Chimayoy (DJP),Cauca,"Cauca: Bolivar: San Juan, Vda. Belen, Cerro El Banco",1,DJP_71
