decimalLongitude,decimalLatitude,Elevation,ParamoComplex,Department,Locality,bio1_23,bio2_23,bio3_23,bio4_23,bio5_23,bio6_23,bio7_23,bio8_23,bio9_23,bio10_23,bio11_23,bio12_23,bio13_23,bio14_23,bio15_23,bio16_23,bio17_23,bio18_23,bio19_23,Cordilleras,clusters
-75.798556,3.9985560000000002,3520,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",72,87,91,175,119,24,95,69,71,73,69,1729,226,81,36,649,291,492,649,Central,1
-75.993694,3.316139,3520,Complejo de Paramos Las Hermosas (HMS),Tolima,"Tolima: Rioblanco: Herrera, Cuenca Rio Hereje, Vda. las Mercedes, predio el Auxilio",99,91,91,164,149,50,99,97,99,101,97,2022,286,47,40,770,248,461,770,Central,3
-75.998028,3.315944,3520,Complejo de Paramos Las Hermosas (HMS),Tolima,"Tolima: Rioblanco: Herrera, Cuenca Rio Hereje, Vda. las Mercedes, predio el Auxilio",99,91,91,164,149,50,99,97,99,101,97,2022,286,47,40,770,248,461,770,Central,3
-75.998222,3.314972,3320,Complejo de Paramos Las Hermosas (HMS),Tolima,"Tolima: Rioblanco: Herrera, Cuenca Rio Hereje, Vda. las Mercedes, predio el Auxilio",99,91,91,164,149,50,99,97,99,101,97,2022,286,47,40,770,248,461,770,Central,3
-75.579283,4.4441,3370,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654,Central,1
-75.597533,4.37055,3370,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Cordoba: Vda. Las Auras, Fca. el Porvenir",77,86,90,206,125,30,95,74,78,79,74,1748,224,85,34,641,295,444,641,Central,1
-75.582,4.444117,3290,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654,Central,1
-75.581167,4.444017,3290,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654,Central,1
-75.5896,4.367967,3570,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Cordoba: Vda. Las Auras, Fca. el Porvenir",70,85,90,210,116,22,94,66,70,71,66,1817,227,91,32,648,320,469,648,Central,1
-75.5982,4.371317,3370,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Cordoba: Vda. Las Auras, Fca. el Porvenir",77,86,90,206,125,30,95,74,78,79,74,1748,224,85,34,641,295,444,641,Central,1
-75.576631,4.437231,3530,Complejo de Paramos Chili-Barragan (CBG),Tolima,"Tolima: Cajamarca: Vda. El Tunel, Sector El CampanaRio",72,85,90,218,119,25,94,69,73,74,69,1835,231,92,32,653,323,479,653,Central,1
-75.57675,4.4455,3450,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654,Central,1
-75.577217,4.44585,3450,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654,Central,1
-75.577883,4.444817,3370,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",80,86,88,276,129,32,97,76,82,82,76,1781,230,87,34,654,302,459,654,Central,1
-75.419917,4.618667,3470,Complejo de Paramos Los Nevados (NVS),Quindio,"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",69,85,89,239,116,21,95,66,70,71,66,1951,236,90,29,641,337,536,641,Central,1
-75.4192,4.616517,3560,Complejo de Paramos Los Nevados (NVS),Quindio,"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",70,84,88,206,117,22,95,67,71,72,67,1942,236,90,29,641,337,534,641,Central,1
-75.418583,4.617433,3560,Complejo de Paramos Los Nevados (NVS),Quindio,"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",69,85,89,239,116,21,95,66,70,71,66,1951,236,90,29,641,337,536,641,Central,1
-76.82775,1.704306,3400,Complejo de Paramos Dona Juana-Chimayoy (DJP),Cauca,"Cauca: Bolivar: San Juan, Vda. Belen, Cerro El Banco",89,86,89,384,138,42,96,87,89,92,82,2263,252,131,20,709,432,630,585,Nudo de los Pastos,1
-77.295139,0.982361,3389,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: Santa Barbara, Vda. Los Alisales",85,84,87,446,135,39,96,82,86,88,77,1849,211,108,21,593,340,536,491,Nudo de los Pastos,1
-77.246667,1.271922,3430,Complejo de Paramos La Cocha-Patascoy (LCP),Narino,"Narino: Pasto: Buesaquillo, Vda. La Cuchilla",102,84,90,343,150,57,93,105,102,105,96,1840,202,117,18,550,383,550,408,Nudo de los Pastos,3
-75.387636,5.074553,3491,Complejo de Paramos Los Nevados (NVS),Caldas,"Caldas: Manizales: Vda. El Desquite, Fca. Martinica, Reserva Forestal Protectora Rio Blanco",78,84,88,202,125,30,95,79,77,80,75,2233,260,87,28,706,356,625,611,Central,1
-75.385119,5.071422,3545,Complejo de Paramos Los Nevados (NVS),Caldas,"Caldas: Manizales: Vda. El Desquite, Fca. Martinica, Reserva Forestal Protectora Rio Blanco",78,84,88,202,125,30,95,79,77,80,75,2233,260,87,28,706,356,625,611,Central,1
-73.76225,4.895933,3250,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guatavita: Vda. Monquentiva, Pantano de Martos",98,88,76,397,155,40,115,98,98,103,93,1421,166,41,35,477,179,400,447,Oriental,4
-73.730444,4.908583,3030,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guatavita: Vda. Monquentiva, Pantano de Martos",114,94,75,431,176,51,125,112,113,120,109,1541,210,38,42,582,165,425,563,Oriental,4
-73.86375,4.732139,3500,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guasca: Vda. Rincon del Oso, Fca. Suasie",86,85,76,386,140,29,111,86,84,90,81,1310,153,47,30,411,198,366,362,Oriental,2
-73.117528,5.457833,3317,Complejo de Paramos Tota-Bijagual-Mamapacha (TBM),Boyaca,"Boyaca: Pesca: Via hacia Rondon y Zetaquira, Vda. La Carbonera",98,81,74,532,154,45,109,99,98,104,91,915,117,13,44,323,80,273,273,Oriental,4
-72.705917,5.501111,3330,Complejo de Paramos Tota-Bijagual-Mamapacha (TBM),Boyaca,Boyaca: Aquitania: Paramo de Franco,91,82,75,562,147,39,108,82,93,96,82,1350,223,12,56,573,84,219,573,Oriental,4
-72.720639,5.503139,3564,Complejo de Paramos Tota-Bijagual-Mamapacha (TBM),Boyaca,Boyaca: Aquitania: Paramo de Franco,99,83,75,561,157,47,110,95,100,105,91,1224,195,11,55,509,70,322,464,Oriental,4
-74.093331,4.3453,3499.4088,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,77,83,79,355,129,24,105,74,77,80,72,1314,149,47,33,436,187,351,406,Oriental,2
-74.118017,4.2531,3279,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Une: Vda. Llanitos,86,84,79,315,139,33,106,84,85,89,81,1329,165,41,38,477,164,357,445,Oriental,2
-74.096431,4.343711,3589.6296,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,77,83,79,355,129,24,105,74,77,80,72,1314,149,47,33,436,187,351,406,Oriental,2
-74.110083,4.25435,3645,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Une: Vda. Llanitos,77,83,79,366,130,25,105,74,77,81,71,1373,162,47,34,473,186,366,441,Oriental,2
-74.11265,4.255917,3482,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Une: Vda. Llanitos,77,83,79,366,130,25,105,74,77,81,71,1373,162,47,34,473,186,366,441,Oriental,2
-74.294069,4.214811,3420,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Pasca: Vda. Quebradas,80,83,81,260,131,29,102,78,80,82,76,1315,148,48,33,433,188,361,327,Oriental,2
-74.098361,4.34375,3675.2784,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,77,83,79,355,129,24,105,74,77,80,72,1314,149,47,33,436,187,351,406,Oriental,2
-74.290339,4.211481,3580,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Pasca: Vda. Quebradas,73,83,81,275,124,22,102,71,72,76,69,1371,154,51,32,446,202,374,403,Oriental,2
-74.394517,3.922633,3348,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Cabrera: Vda. de Hoyerias,87,83,83,284,137,37,100,88,86,90,83,1403,162,52,33,465,198,392,412,Oriental,2
-74.1182,4.2535,3280,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Une: Vda. Llanitos,86,84,79,315,139,33,106,84,85,89,81,1329,165,41,38,477,164,357,445,Oriental,2
-73.996111,4.55,3349,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Ubaque: Reserva Ecologica Matarredonda,88,86,78,339,143,33,110,86,88,92,84,1196,136,47,29,363,189,322,344,Oriental,2
-74.096381,4.34395,3589.02,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,77,83,79,355,129,24,105,74,77,80,72,1314,149,47,33,436,187,351,406,Oriental,2
-73.983417,4.550472,3472,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Ubaque: Reserva Ecologica Matarredonda,87,86,78,339,142,32,110,85,86,91,82,1206,138,47,29,368,190,323,349,Oriental,2
-74.39965,3.922017,3356,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Cabrera: Vda. de Hoyerias,87,83,83,284,137,37,100,88,86,90,83,1403,162,52,33,465,198,392,412,Oriental,2
-74.112583,4.256417,3474,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Une: Vda. Llanitos,77,83,79,366,130,25,105,74,77,81,71,1373,162,47,34,473,186,366,441,Oriental,2
-74.096411,4.343811,3591.1536,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,77,83,79,355,129,24,105,74,77,80,72,1314,149,47,33,436,187,351,406,Oriental,2
-73.996694,4.549167,3355,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Ubaque: Reserva Ecologica Matarredonda,86,85,77,326,141,32,109,83,85,90,81,1205,137,47,29,371,188,321,354,Oriental,2
-74.293589,4.214131,3428,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Pasca: Vda. Quebradas,80,83,81,260,131,29,102,78,80,82,76,1315,148,48,33,433,188,361,327,Oriental,2
-74.118,4.253583,3287,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Une: Vda. Llanitos,86,84,79,315,139,33,106,84,85,89,81,1329,165,41,38,477,164,357,445,Oriental,2
-74.0935,4.345181,3502.152,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,77,83,79,355,129,24,105,74,77,80,72,1314,149,47,33,436,187,351,406,Oriental,2
-74.093731,4.346031,3400.6536,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,77,83,79,355,129,24,105,74,77,80,72,1314,149,47,33,436,187,351,406,Oriental,2
-72.622306,6.773111,3300,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Concepcion: Vda. Aguabri, Jurado",70,89,72,393,128,6,122,69,67,75,66,1595,223,23,50,618,127,421,542,Oriental,2
-72.617611,6.665472,3045,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Carcasi: Vda. Victarigua, La Palma, Alto de Curubita",77,91,74,400,136,14,122,75,75,82,72,1593,217,25,48,606,130,432,528,Oriental,2
-72.834083,6.986222,3210,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Guaca: Cgto. Baraya, Vda. La Planada",80,89,72,359,137,14,123,83,76,84,76,1245,157,23,45,456,114,367,114,Oriental,2
-72.629639,6.77425,3090,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Concepcion: Vda. Aguabri, Jurado",87,92,74,368,146,22,124,85,84,91,83,1486,202,22,49,566,116,407,548,Oriental,2
-73.105497,5.943697,3401,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Duitama: Paramo de la Rusia - Virolin, Vda. El Carmen",83,85,77,423,137,28,109,87,83,87,77,1233,174,42,40,416,190,416,238,Oriental,2
-72.781564,6.213375,3418,Complejo de Paramos Guantiva-La Rusia (GLR),Santander,Santander: Onzaga: Vda. Chaguaca,78,89,77,380,136,21,115,80,78,83,73,1602,199,38,40,570,174,483,470,Oriental,2
-73.194194,5.831222,3230,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Carrizal Bajo,101,88,77,446,158,44,114,106,100,106,95,1105,167,33,46,384,155,384,190,Oriental,4
-73.302444,5.845222,3043,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Sotaquira: Vda. Avendanos,119,99,80,392,182,59,123,124,119,124,114,1343,198,45,44,462,193,360,234,Oriental,4
-73.384722,5.734222,3067,Complejo de Paramos Iguaque-Merchan (IGM),Boyaca,Boyaca: Arcabuco: Vda. Rupavita,98,86,78,413,153,43,110,98,97,103,93,1148,172,35,44,393,160,381,214,Oriental,4
-74.402817,3.932067,3106,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Cabrera: Vda. de Hoyerias,100,84,83,302,152,51,101,101,100,104,96,1307,151,48,33,438,179,374,316,Oriental,4
-74.309,4.215289,3114,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Pasca: Vda. Quebradas,105,87,81,297,159,52,107,106,104,109,101,1134,142,39,37,390,147,333,265,Oriental,4
-74.3101,4.215689,3088,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Pasca: Vda. Quebradas,105,87,81,297,159,52,107,106,104,109,101,1134,142,39,37,390,147,333,265,Oriental,4
-74.3029,4.215619,3277,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Pasca: Vda. Quebradas,90,85,80,298,143,38,105,88,90,93,86,1239,144,42,35,417,164,347,311,Oriental,2
-74.309839,4.215731,3095,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Pasca: Vda. Quebradas,105,87,81,297,159,52,107,106,104,109,101,1134,142,39,37,390,147,333,265,Oriental,4
-74.400567,3.927383,3249,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Cabrera: Vda. de Hoyerias,100,84,83,302,152,51,101,101,100,104,96,1307,151,48,33,438,179,374,316,Oriental,4
-74.4005,3.927433,3250,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Cabrera: Vda. de Hoyerias,100,84,83,302,152,51,101,101,100,104,96,1307,151,48,33,438,179,374,316,Oriental,4
-74.402817,3.932233,3104,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Cabrera: Vda. de Hoyerias,100,84,83,302,152,51,101,101,100,104,96,1307,151,48,33,438,179,374,316,Oriental,4
-73.106775,5.943172,3384,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Duitama: Paramo de la Rusia - Virolin, Vda. El Carmen",83,85,77,423,137,28,109,87,83,87,77,1233,174,42,40,416,190,416,238,Oriental,2
-72.782981,6.228489,3005,Complejo de Paramos Guantiva-La Rusia (GLR),Santander,Santander: Onzaga: Vda. Chaguaca,106,99,77,425,170,43,127,111,106,111,100,1194,177,48,46,426,169,335,209,Oriental,4
-76.977389,1.472028,2652,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",130,90,91,278,179,81,98,130,126,133,126,1920,217,103,25,623,332,555,332,Nudo de los Pastos,3
-73.780722,4.7605,3250,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guasca: Vda. La Concepcion, BioAndina",101,89,75,424,159,41,118,98,100,106,96,1543,184,45,35,525,196,431,497,Oriental,4
-73.726089,4.9015,2940,Complejo de Paramos Chingaza (CHG),Cundinamarca,"Cundinamarca: Guatavita: Vda. Monquentiva, Pantano de Martos",115,94,76,413,175,52,123,112,114,120,109,1569,215,39,42,595,168,432,576,Oriental,4
-72.701667,5.507333,3190,Complejo de Paramos Tota-Bijagual-Mamapacha (TBM),Boyaca,Boyaca: Aquitania: Paramo de Franco,91,82,75,562,147,39,108,82,93,96,82,1350,223,12,56,573,84,219,573,Oriental,4
-74.09265,4.356681,3231.7944,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,90,86,78,377,145,36,109,87,90,94,84,1251,155,38,38,448,153,338,418,Oriental,2
-74.095531,4.355361,3346.0944,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,90,86,78,377,145,36,109,87,90,94,84,1251,155,38,38,448,153,338,418,Oriental,2
-74.095481,4.355131,3344.5704,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,90,86,78,377,145,36,109,87,90,94,84,1251,155,38,38,448,153,338,418,Oriental,2
-74.09555,4.355231,3346.0944,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,90,86,78,377,145,36,109,87,90,94,84,1251,155,38,38,448,153,338,418,Oriental,2
-74.092511,4.35675,3214.7256,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,90,86,78,377,145,36,109,87,90,94,84,1251,155,38,38,448,153,338,418,Oriental,2
-74.094731,4.357181,3354.6288,Complejo de Paramos Sumapaz-Cruz Verde (SCV),Cundinamarca,Cundinamarca: Chipaque: Vda. las Fruticas,90,86,78,377,145,36,109,87,90,94,84,1251,155,38,38,448,153,338,418,Oriental,2
-72.623306,6.666556,3285,Complejo de Paramos Almorzadero (ALM),Santander,"Santander: Carcasi: Vda. Victarigua, La Palma, Alto de Curubita",77,91,74,400,136,14,122,75,75,82,72,1593,217,25,48,606,130,432,528,Oriental,2
-72.540167,7.481472,2630,Complejo de Paramos Tama (TMA),Norte de Santander,"Norte de Santander: Toledo: Vda. Quebrada Grande, Paramo de Mejue",121,91,76,417,174,55,119,125,115,125,115,968,131,24,47,361,83,266,83,Central,4
-72.630639,7.152889,3041,Complejo de Paramos Almorzadero (ALM),Norte de Santander,Norte de Santander: Chitaga: Vda. Siaga,91,90,72,409,148,23,125,94,86,95,86,1193,165,20,51,451,90,328,90,Oriental,4
-76.075556,3.539278,3295,Complejo de Paramos Las Hermosas (HMS),Valle del Cauca,"Valle del Cauca: Palmira: Cuenca Rio Amaime, Vda. la Nevera, Fca. la Victoria",81,89,92,128,130,34,96,79,81,82,79,2004,270,62,39,774,281,487,774,Central,1
-75.8065,3.996028,3120,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",86,89,90,259,136,38,98,82,86,89,82,1527,210,70,38,583,254,419,583,Central,1
-75.804133,4.096483,3625,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Genova: Vda. San Juan, Fca. Miravalle",89,89,89,250,140,41,99,85,90,91,85,1477,204,71,37,562,238,413,562,Central,2
-75.807867,4.10015,3625,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Genova: Vda. San Juan, Fca. Miravalle",117,91,89,278,171,69,102,113,119,120,113,1136,168,45,40,420,166,229,420,Central,4
-75.805183,4.096383,3625,Complejo de Paramos Chili-Barragan (CBG),Quindio,"Quindio: Genova: Vda. San Juan, Fca. Miravalle",89,89,89,250,140,41,99,85,90,91,85,1477,204,71,37,562,238,413,562,Central,2
