Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingArea,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux,mean_Wingspan
Colibri coruscans,7.407407407407407,28.31888888888889,23.0444,2.2075,2.971111111111111,4.625925925925926,662.3531578947368,75.33,41.295,48.565769230769234,12.7356,5.404583333333333,5.04875,168.6
Colibri thalassinus,4.671428571428572,25.67142857142857,19.81,1.9914285714285715,2.473333333333333,4.181666666666667,404.65333333333336,60,37.27666666666667,40.973333333333336,14.442,6.4,4.748333333333333,NaN
Conirostrum albifrons,11,14.8,9.5,4,4.2,6.5,3631.59,61.8,13.4,54.9,24.1,18.5,6.3,NaN
Conirostrum rufum,11.405,12.475217391304348,9.640454545454546,3.79,3.540952380952381,5.993043478260869,3419.9105555555557,63.142105263157895,11.782,57.90347826086956,17.82304347826087,20.29,8.814761904761905,192.75
Conirostrum sitticolor,11.475999999999999,13.489090909090908,10.102857142857143,4.118571428571428,3.498181818181818,6.0875,2109.194,67.62071428571429,38.957,56.625,9.869166666666667,19.289285714285715,10.731428571428571,197.6
Cyanocorax yncas,13,11.5,10.4,4.7,3.5,4.1,2501,65,70,50,0,22.3,10,NaN
Cyanolyca armillata,91.16499999999999,32.245,21.845,9.23,9.165,20.92,NaN,137.5,2.44,163.5,101.765,39.42,21.67,NaN
Cyphorhinus thoracicus,26,23.6,18.42,5.72,3.72,9.28,NaN,63,1.24,45.51,NaN,28.32,17.98,NaN
Dendrocincla tyrannina,39.75833333333333,36.788333333333334,28.266666666666666,8.763333333333334,7.995,13.506666666666666,NaN,130,19.236666666666668,127.8,82.78999999999999,27.161666666666665,16.75,399.3333333333333
Dendrocolaptes picumnus,5.4,37.8,34,7.5,8.2,14,NaN,134,25,134,NaN,31.7,19.4,NaN
Diglossa albilatera,10.863928571428572,12.556222222222223,9.22054945054945,4.373333333333333,2.975764705882353,6.0076136363636365,1634.7109090909091,58.13045454545455,11.800967741935484,50.09928571428571,11.29530303030303,19.820229885057472,10.514186046511629,171.14814814814815
Diglossa brunneiventris,9,11.46,9.77,4.4,3.05,5.3,NaN,58.8,3.13,50.6,3.79,21.26,50.6,NaN
Diglossa caerulescens,14.809473684210527,15.494545454545454,12.371428571428572,4.3986363636363635,3.7395238095238095,7.483478260869565,3768.4466666666667,67.7,12.077142857142857,56.081428571428575,2.8492307692307692,21.31304347826087,11.019545454545455,181.71428571428572
Diglossa cyanea,16.7925,16.754302325581396,12.915185185185186,5.145135135135135,3.617837837837838,7.2905263157894735,2298.5895652173913,70.90952941176471,11.316666666666666,59.79592592592593,18.061830985915492,21.942619047619047,11.49235294117647,210.15384615384616
Diglossa gloriosissima,17,15.268181818181818,12.248181818181818,5.169,3.354285714285714,5.454,1964.41,70.25363636363636,10.872727272727273,63.31727272727273,11.15125,25.023,13.915555555555555,NaN
Diglossa humeralis,12.537197802197802,13.237061611374408,9.85360975609756,4.6226865671641795,3.1330051813471504,6.068871794871795,3663.5750406504067,64.9167487684729,9.794375,59.18487804878049,16.120659898477157,22.74,11.230861244019138,193.65744680851063
Diglossa lafresnayii,17.15078947368421,14.641272727272728,11.025060240963855,4.939125,3.250886075949367,6.846040268456376,2031.1174025974026,69.40345238095239,10.769065420560748,61.367055214723926,16.534326241134753,24.489378881987577,12.398823529411764,195.72465753424657
Diglossa sittoides,8.5,11.756666666666666,9.156666666666666,4.25,3.03,5.966666666666667,2731.5,49.666666666666664,NaN,52.333333333333336,0,20.24,10.356666666666667,175.66666666666666
Doryfera ludovicae,5.812857142857143,35.705714285714286,31.583333333333332,2.211666666666667,3.157142857142857,5.505714285714286,88.465,61.502857142857145,35.90857142857143,34.194,15.286666666666667,6.576666666666666,6.214285714285714,150
Dubusia taeniata,47.333333333333336,17.413333333333334,13.31,7.4,5.713333333333333,11.463333333333333,34507.53333333333,85,NaN,66.33333333333333,0,28.296666666666667,17.293333333333333,272
Elaenia albiceps,15.1,10.766666666666666,9.166666666666666,3.466666666666667,4.2,7.266666666666667,NaN,74,14,69,NaN,19.733333333333334,8.866666666666667,NaN
Elaenia frantzii,14.666666666666666,11.437333333333333,8.48875,3.5094444444444446,4.245625,8.221111111111112,3081.2853333333333,71.50666666666666,12.68923076923077,65.47142857142858,27.182142857142857,17.951999999999998,8.053888888888888,225
Elaenia pallatangae,16.163636363636364,11.709090909090909,8.645454545454545,3.36,4.445454545454545,8.33,419.55,71.9090909090909,21.272727272727273,64.16666666666667,6.5,19.536363636363635,9.91,NaN
Empidonax virescens,15,12.54,8.09,3.62,4,10.98,NaN,NaN,8.64,61.67,2.5,16.68,9.87,234
Ensifera ensifera,10.652,90.90333333333334,81.135,2.7316666666666665,3.6425,5.74,118.79,77.21166666666667,31.343333333333334,56.336666666666666,20.275,35.81666666666667,6.263333333333334,NaN
Eriocnemis cupreoventris,5.825151515151515,21.99582089552239,18.154927536231884,1.9922388059701492,2.6368181818181817,4.162173913043478,1189.2610909090909,59.58611940298508,35.15117647058823,42.312238805970146,5.518260869565218,5.522950819672131,5.633968253968254,143.17241379310346
Eriocnemis derbyi,5.274516129032258,22.980625,20.53212121212121,1.85,2.62,4.162307692307692,93.93111111111111,58.931176470588234,28.92290322580645,34.0196875,12.610312500000001,4.73,5.758,137.4
Eriocnemis mosquera,5.801774193548387,23.51342105263158,20.26961038961039,1.7961643835616439,2.5344444444444445,4.185087719298246,131.07407407407408,70.53,30.4544776119403,54.91103896103896,28.245454545454546,5.431739130434782,6.495076923076923,161.28333333333333
Eriocnemis vestita,4.719844559585492,21.72755905511811,18.75625498007968,1.92251968503937,2.512722891566265,3.9302702702702703,856.9087037037037,57.62573122529644,33.64071038251366,40.45645914396887,10.22581589958159,5.66847533632287,5.363681818181818,140.2712643678161
Gallinago jamesoni,230,85.3,85.3,10.53,NaN,10.7,NaN,NaN,NaN,58.2,9.7,40.48,10.36,NaN
Gallinago nobilis,105,64.1,57.7,9.4,6.1,NaN,NaN,142,36.2,78,NaN,36.85,10.75,NaN
Geothlypis philadelphia,10,15.2,10.5,3.2,4,5.2,2445.94,64.5,20.4,43.4,36.9,19.7,6.2,NaN
Glaucidium jardinii,59.25,15.795,9.94,9.644285714285715,8.2875,14.486666666666666,1018.7566666666667,100.71428571428571,18.812,62.27142857142857,15.944285714285714,18.43,11.22,310
Grallaria nuchalis,NaN,26.15,21.41,9.24,6.89,13.56,NaN,106,10.14,60,5,54.01,20.39,NaN
Grallaria quitensis,60.5,25.2,19.9,7.64,6.633333333333333,12.3,3445.63,89.925,12.899999999999999,44.7,7.15,48.975,22.3,NaN
Grallaria rufula,39.75,17.92,15.1375,5.67,5.8500000000000005,10.2625,621.115,76.975,7.14,36.07333333333333,1.3,45.5775,20.4525,229
Grallaria squamigera,155.22,34.46666666666667,28.663333333333334,12.026666666666667,11.27,16.28333333333333,NaN,145.3,19.77,56.766666666666666,7.779999999999999,64.55,24.606666666666666,NaN
Grallaricula cucullata,11.35,12.4,8.7,3.02,4.76,NaN,53,70,10.01,38,27,23.34,13.22,NaN
Grallaricula lineifrons,21.13,17.47,8.78,4.29,4.87,9.57,NaN,78,4.27,37,15.23,28.22,13.57,NaN
Grallaricula nana,16.08,18.05,12.155,4.465,5.115,9.3,NaN,66.905,11.885,40.03,0,30.04,14.955,NaN
Haplospiza rustica,18.5,13.09,10.295,4.53,4.859999999999999,7.359999999999999,3240.2,64,12.78,43.36,0,21.405,12.45,205
Heliangelus amethysticollis,5.416666666666667,19.6405,16.72681818181818,2.0808695652173914,2.67125,4.285555555555556,1185.2307692307693,63.92916666666667,39.860952380952384,40.80380952380953,16.25304347826087,6.6125,5.0872222222222225,154
Heliangelus exortis,4.617659574468085,18.337755102040816,15.30375,1.9211627906976745,2.5169565217391305,4.518780487804878,500.4842857142857,64.264375,29.41054054054054,43.93255319148936,15.697906976744186,5.719361702127659,6.0790476190476195,152.3
Heliodoxa rubinoides,6.5,19.1675,16.36,1.9766666666666666,3.4225000000000003,7.45,NaN,59.1775,33.696666666666665,43.615,7.76,7.3533333333333335,5.6033333333333335,NaN
Hellmayrea gularis,12.785925925925925,14.25090909090909,11.306666666666667,3.2893939393939395,3.5518181818181818,7.211612903225807,1441.449,56.8234375,28.82782608695652,56.1125,23.021875,22.007,13.769354838709678,180.2888888888889
Hemitriccus granadensis,7.956666666666667,13.143333333333333,9.886666666666667,2.94,3.6533333333333333,7.8533333333333335,594,43.196666666666665,4.955,42.70666666666666,0,15.816666666666666,7.753333333333333,139
Henicorhina leucophrys,14.802,15.689,12.705454545454545,3.7141666666666664,3.6,8.1725,3256.7966666666666,56.27166666666667,7.249090909090909,32.149166666666666,14.143636363636364,24.785555555555558,11.177777777777777,166.5
Iridosornis porphyrocephalus,22.51,14.81,12.18,7.31,2.9,8.16,NaN,73,9.69,57.08,4.22,24.32,12.95,NaN
Iridosornis rufivertex,27.3609375,13.154,9.3865625,6.960909090909091,5.233809523809524,8.584814814814814,566.835,83.170625,20.607692307692307,73.69033333333333,7.708235294117647,25.98758620689655,14.033,237.3
Kleinothraupis atropileus,23.7,15.306666666666667,11.143529411764707,5.317058823529412,4.71875,9.598823529411765,2027.1755555555555,76.90625,19.845384615384617,73.795,6.076923076923077,25.065333333333335,14.521176470588236,216.22222222222223
Lafresnaya lafresnayi,5.473,30.668490566037736,25.647843137254903,1.9964814814814815,2.4546296296296295,4.427962962962963,785.6232,60.87418181818182,33.07818181818182,38.70333333333333,9.062916666666666,5.748979591836735,5.288163265306123,138.41176470588235
Leiothlypis peregrina,10,13.9,10,4,3.6,5.7,2760.54,65,21,39,16,19.6,7.8,NaN
Lepidocolaptes lacrymiger,32.875,30.625,25.15,5.225,4.8,11.075,9717.9675,110.35,24.175,95.16666666666667,51.8,20.8,8.1875,NaN
Leptasthenura andicola,14.75,9.34,8.05,3.05,2.9,5.5,285.54,68,9.25,99.175,37.85,22.65,9.6,NaN
Lesbia nuna,6,17.545,14.455,1.54,2.29,3.895,486.81,52.5,37,120,71,6.470000000000001,6.635,133
Lesbia victoriae,6.34,19.32111111111111,14.028,1.782,2.574,4.261,896.0057142857142,59.07142857142857,31.18,82.9425,58.79333333333334,6.322222222222222,5.747777777777777,140.625
Macroagelaius subalaris,66.5,25.85,23.6,8.2,6.75,12.7,12368.67,128.4,31.9,141.95,100.65,31.5,13.25,NaN
Margarornis squamiger,17.967241379310344,14.4284375,10.121428571428572,3.8286206896551724,3.7157142857142857,8.833809523809524,344.1511111111111,79.4375,14.3324,75.70357142857142,28.600434782608694,20.970625,15.3384,232.225
Mecocerculus leucophrys,12.541370967741935,12.41504,9.118968253968253,3.170409836065574,4.026701030927835,7.155785123966942,3595.552,66.08904,10.925166666666666,69.66645161290323,20.06321739130435,20.98483870967742,9.257096774193549,203.46938775510205
Mecocerculus minor,12,9.34,5.9,2.84,3.66,6.44,2450.1,59,NaN,49,0,15.19,10.57,157
Mecocerculus poecilocercus,9.02,11.18,5.64,2.38,3.23,5.2,NaN,65,6.25,62,31.88,17.25,8.59,NaN
Mecocerculus stictopterus,13.5,10.75,7.535,2.74,3.87,6.82,2822.2,57.5,NaN,71.5,0,20.73,9.46,196
Megascops albogularis,157,25.299999999999997,20.35,11.95,6.4,19.15,35638.47,198,37,116.5,31.7,40.099999999999994,14.25,NaN
Metallura iracunda,30,15,12.5,7.5,7,10,4525,84,60,65,0,22.5,15,NaN
Metallura tyrianthina,3.526351351351351,13.284837398373984,10.411916666666666,1.6173684210526316,2.144149377593361,3.772,662.2569032258065,52.812955465587045,27.096703296703296,37.102633744855964,9.856061946902654,5.5493,5.793367346938775,126.63368421052631
Metallura williami,4.3532,17.5756,13.699655172413793,1.7444,2.4748275862068967,4.139130434782609,98.5,56.683928571428574,20.417083333333334,40.45076923076923,13.940869565217392,5.8228,6.954545454545454,140
Mionectes striaticollis,12.662,13.206,10.65,3.326,4.6875,9.218,390.84,62.333333333333336,6.413333333333333,50.058,15.77,16.942,11.363333333333333,NaN
Myioborus melanocephalus,11.4,11.426666666666666,8.513333333333334,3.3,4.586666666666667,7.95,337.1842857142857,64.92857142857143,18.133333333333333,63.333333333333336,13.142857142857142,20.228571428571428,11.733333333333333,NaN
Myioborus ornatus,11.379318181818181,11.870000000000001,8.871458333333333,3.4760416666666667,4.7865789473684215,7.41875,2541.0828666685716,67.6396,10.297096774193548,67.17851063829787,22.38511111111111,20.717954545454546,9.999795918367347,195.47142857142856
Myiotheretes fumigatus,32.318333333333335,22.674285714285713,16.961666666666666,5.674285714285714,7.791666666666667,12.461666666666666,4472.29,105.47571428571429,21.401666666666667,84.96428571428572,20.414,24.31,11.952857142857143,NaN
Myiothlypis coronata,17.25,14.15,10.036666666666667,4.166666666666667,4.836666666666667,7.733333333333333,287.95,67.82,10.719999999999999,56.739999999999995,3.44,25.14,13.540000000000001,NaN
Myiothlypis luteoviridis,14.29875,12.47625,9.810416666666667,3.786086956521739,4.382272727272727,8.152608695652173,1449.8521428571428,66.32958333333333,29.068947368421053,62.98708333333333,7.8116666666666665,21.619565217391305,11.518636363636364,182.88
Myiothlypis nigrocristata,13.340816326530613,13.581272727272728,10.367735849056604,3.600576923076923,4.5092592592592595,7.364901960784314,1951.5808333333334,62.512692307692305,11.755952380952381,60.65150943396227,21.14288888888889,24.04,11.665090909090909,189.53333333333333
Ochthoeca cinnamomeiventris,12.855,14.59,8.255,4.59,5.51,8.075,4256.18,64.3,6.195,46.8,30.189999999999998,19.265,8.865,NaN
Ochthoeca diadema,11.688636363636364,12.477142857142857,8.40125,3.4066666666666667,4.735454545454545,7.962962962962963,324.83,61.62407407407407,18.5788,52.7288,14.534,20.0692,10.834999999999999,195.6
Ochthoeca frontalis,10.9725,11.82,8.202727272727273,3.1835483870967742,4.203333333333333,7.690645161290322,1302.165,62.54387096774194,9.18875,53.512903225806454,14.838928571428571,20.154583333333335,10.841333333333333,193.76
Ochthoeca fumicolor,15.742584269662922,14.358571428571429,10.780392156862746,3.7229411764705884,4.8471794871794875,8.245934065934065,3221.645837837838,82.77255102040816,15.127166666666668,73.28757575757575,22.488720930232557,24.241,11.033173076923077,228.73076923076923
Ochthoeca rufipectoralis,12.433,13.344,9.006,3.2775,4.348571428571429,8.10125,3274.5633333333335,66.18181818181819,13.845,62.027,16.544999999999998,20.436,9.11375,194.13333333333333
Opisthoprora euryptera,6.928,13.687,10.089,1.969,2.507,4.022222222222222,924,52.8,29.695,41.2,0,5.955555555555556,6.431,126.375
Orochelidon murina,12.666666666666666,9.056086956521739,5.906363636363636,2.3252380952380953,4.051904761904762,7.565333333333333,5208.952727272727,109.73333333333333,54.89888888888889,68.22222222222223,15.765238095238095,12.495217391304347,7.54,279.3076923076923
Oxypogon guerinii,7.409090909090909,13.546363636363637,8.327142857142857,1.828,2.3155555555555556,4.04,1210.1363636363637,64.27272727272727,NaN,51.63636363636363,0,5.113333333333333,8.877,165.25
Oxypogon stubelii,7.5,9.2,8.3,1.8,1.85,NaN,NaN,66.4,NaN,56.2,NaN,NaN,NaN,NaN
Pachyramphus versicolor,15.44,12.26,10.68,4.6,3,7.57,NaN,64.5,13.79,45.14,NaN,17.22,13.95,NaN
Patagioenas fasciata,327,26.996666666666666,17.666666666666668,5.45,5.583333333333333,6.845000000000001,1260,144.5,61.55,106.93666666666667,23.44,28.82,22.145000000000003,NaN
Phrygilus unicolor,26.307692307692307,14.074285714285715,12.148,6.224666666666667,5.276,7.1,3153.098,89.1875,16.144285714285715,62.304375,0.6,25.937333333333335,14.641,262.6666666666667
Phyllomyias nigrocapillus,9.674285714285714,9.108571428571429,5.724285714285714,2.947142857142857,3.506666666666667,6.8116666666666665,3365.0266666666666,60.916666666666664,10.086,50.528571428571425,25.931666666666665,17.098,8.348571428571429,NaN
Phyllomyias uropygialis,11.25,8.565,6.3149999999999995,2.63,3.76,7.025,NaN,62,11.885,50,16.5,18.03,7.82,193
Pipreola arcuata,96.875,19.75,16.525,6.183333333333334,7,17.775,1074.3075,124.5,19.96666666666667,91.175,10.325,27.1075,17.733333333333334,NaN
Pipreola riefferii,55.62,17.446,11.93,5.858333333333333,7.68,12.4,7514.85,88,12.48,73.32333333333334,0,22.146,16.143333333333334,280
Poecilotriccus ruficeps,6.470000000000001,14.02,9.775,2.69,3.39,5.775,NaN,43.870000000000005,6.295,39.385000000000005,12.41,16.875,9.89,NaN
Pseudocolaptes boissonneautii,45.75,25.682,21.694,6.206,5.383333333333333,9.99,795.49,107.05,17.255,96.36666666666666,42.0925,26.9,16.35,282.6
Pseudospingus verticalis,14.601818181818182,13.620000000000001,9.516363636363636,4.3545454545454545,3.815384615384615,7.366666666666667,4692.956666666667,71.69583333333333,9.661,71.13833333333334,31.832857142857144,21.476666666666667,9.81,227.9
Pseudotriccus ruficeps,11.223333333333333,12.122,8.3185,2.9355555555555557,4.049444444444444,7.66,243.34857142857143,55.828,14.785789473684211,44.22631578947369,9.542352941176471,22.28,12.781764705882352,175
Pterophanes cyanopterus,11.615384615384615,36.0375,29.470769230769232,2.1507692307692308,2.878181818181818,4.694444444444445,2537.7971428571427,100.52307692307693,57.61,71.84230769230768,10.156666666666666,7.231428571428571,8.04111111111111,233
Pyrrhomyias cinnamomeus,9.8,12.25,9.3,3.1,6.95,8.3,1722.9750000000001,69.4,21.475,60.5,39.980000000000004,11.95,6.95,NaN
Pyrrhura calliptera,88,23.14,20.67,21.49,12.43,14.05,NaN,134,39.1,108.23,53.24,17.38,12.23,NaN
Ramphastos ambiguus,27,15.3,13.5,7,5.7,9,NaN,67,59,74,0,31.6,16,NaN
Ramphomicron microrhynchum,3.825833333333333,11.103076923076923,7.470434782608696,1.54375,1.981923076923077,3.5216666666666665,701.2166666666667,49.25666666666667,21.739,39.74740740740741,14.298400000000001,5.37,6.371304347826087,119.28571428571429
Scytalopus griseicollis,17.214285714285715,13.892857142857142,10.502857142857144,3.7814285714285716,3.7775,5.841666666666667,2590.84,56.5,16.1,46.96666666666667,8.882857142857143,24.754,15.717142857142857,183.6
Scytalopus latrans,17.375,14.7725,7.5925,3.5533333333333332,3.8666666666666667,8.265,398.1,57.5,6.17,42.333333333333336,20.810000000000002,22.7875,15.5275,NaN
