Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingArea,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux,mean_Wingspan
Thraupis cyanocephala,30,14.1,12.75,8.75,8.5,9,4797.5,85.5,60,66.5,0,25.75,15,NaN
Thripadectes holostictus,40,26,19.9,6.95,5.98,NaN,NaN,82,NaN,80,NaN,24.11,19.58,NaN
Tiaris obscurus,34,15.2,13.4,7.1,6.3,10.5,2605,64.7,62.5,74,0,29.4,13.4,NaN
Troglodytes aedon,14.25,16.47714285714286,13.564,3.3049999999999997,3.452857142857143,8.084285714285715,2724.41,53.083333333333336,7.586666666666667,38.9275,12.671428571428573,21.40833333333333,13.15,167
Troglodytes solstitialis,12.656666666666666,15.894166666666667,11.061666666666667,3.1745454545454543,3.5075,7.988,113.0575,49.22222222222222,2.507,36.69230769230769,20.47,19.656363636363636,12.43,NaN
Trogon personatus,56.875,16.378333333333334,13.796666666666667,8.154,10.246,17.786666666666665,5168.5599999999995,123,49.47,152.66,72.8175,18.29,9.866666666666667,375
Turdus fuscater,143.28955555555555,28.86722222222222,23.477962962962962,8.68734693877551,7.9913043478260875,16.061627906976746,1426.0277419354838,155.82039215686274,28.476666666666667,146.42045454545453,18.211875,43.945263157894736,23.642448979591837,470
Turdus serranus,73,25.3,19.433333333333334,6.6000000000000005,6,12.3,1601.115,114.66666666666667,21.466666666666665,100.03333333333333,13,33.483333333333334,19.21666666666667,NaN
Uromyias agilis,9.784166666666668,12.374166666666666,8.61923076923077,3.2453846153846153,4.238181818181818,8.616923076923078,1139.0966666666666,54.15384615384615,32.53625,66.9090909090909,21.947777777777777,19.96,11.334999999999999,165.2
Uropsalis segmentata,42.666666666666664,21.716666666666665,10.566666666666666,4.083333333333334,6.5,22.65,832.4273333333333,171.33333333333334,68.43333333333334,105.14999999999999,6.783333333333332,15.583333333333334,5.766666666666667,NaN
Urothraupis stolzmanni,22.303333333333335,16.044999999999998,10.6125,5.2875,4.77,10.32,67,85.33333333333333,36.5975,77,44.152499999999996,27.746666666666666,15.503333333333334,NaN
Veniliornis nigriceps,39,20.233333333333334,18.033333333333335,6.1,6.7,11,NaN,104,19.5,72,24.6,23.4,17.133333333333333,NaN
Zonotrichia capensis,21.16216216216216,13.520731707317074,11.247441860465116,6.393414634146342,5.698918918918919,7.977567567567568,1821.6316216216217,63.32142857142857,17.7964,58.52372093023256,0,22.92282051282051,14.589230769230769,207.33333333333334
