Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux
Cyphorhinus thoracicus,26,23.6,18.42,5.72,3.72,9.28,63,1.24,45.51,NA,28.32,17.98
Elaenia albiceps,15.1,10.766666666666666,9.166666666666666,3.466666666666667,4.2,7.266666666666667,74,14,69,NA,19.733333333333334,8.866666666666667
Empidonax virescens,15,12.54,8.09,3.62,4,10.98,NA,8.64,61.67,2.5,16.68,9.87
Grallaricula cucullata,11.35,12.4,8.7,3.02,4.76,NA,70,10.01,38,27,23.34,13.22
Mecocerculus minor,12,9.34,5.9,2.84,3.66,6.44,59,NA,49,0,15.19,10.57
Oxypogon stubelii,7.5,9.2,8.3,1.8,1.85,NA,66.4,NA,56.2,NA,NA,NA
