"","quanti.correlation","quanti.p.value"
"mean_totalCulmen",0.620577566690227,6.65323807407453e-20
"mean_exposedCulmen",0.616006746448043,1.47200668151095e-19
"mean_distPrimarySecondary",0.51580329142877,3.24779083294849e-13
"mean_billWidth",-0.191634238813262,0.0113048641863344
"mean_billDepth",-0.201951666947825,0.00753295702383125
"mean_gape",-0.234663908633383,0.00182851930704026
"mean_tailLength",-0.30644955931368,3.91227034819356e-05
"mean_tailShape",-0.505347612148439,1.14691106168144e-12
