"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"mean_Weight",14.1990100234097,0.121136232984687,0.175090116921055,1.82489889028859,6.27418683564123
"mean_totalCulmen",8.2502246402154,25.4052926610314,9.6979927465092,1.83642990878463,1.03616077022806
"mean_exposedCulmen",7.82111685104242,25.0324291087853,12.5941740989968,1.57616092419729,0.160289630076883
"mean_billDepth",13.9968757846682,2.69046249510347,1.35432668517172,7.00913309177783,16.4096422418268
"mean_billWidth",14.7198358057795,2.42258079384551,0.76711807907301,6.6858447912931,15.0664528585371
"mean_gape",13.6757489885507,3.63265921612239,3.2720428057413,6.12714641317678,0.00698013962776747
"mean_wingLength",13.3622797136759,0.102770045424064,11.056267261695,0.0463648027309234,10.0763951563953
"mean_distPrimarySecondary",0.669752837029286,17.5509357381902,43.0643559062771,9.21690882037242,25.7932905710183
"mean_tailLength",10.1438964018083,6.19512480781297,8.6751066350728,10.1458667614067,18.9488356253319
"mean_tailShape",3.16125895382056,16.8466089007,9.3435256645421,55.5312455959718,6.22776617131668
