"","quanti.correlation","quanti.p.value"
"Max_Temp_warmest_month",0.944413758632009,1.59840653369575e-234
"Mean_Temp_warmest_quarter",0.895459971655303,3.43722328770377e-171
"Mean_Temp_wettest_quarter",0.887303251552716,8.64851310690191e-164
"Annual_Mean_Temp",0.871604572435224,4.93966456964119e-151
"Mean_Temp_driest_quarter",0.842844236332545,1.592150893048e-131
"Mean_Temp_coldest_quarter",0.835596201791305,3.18758222484011e-127
"Temp_annual_range",0.729571442091286,2.13617512882533e-81
"Min_Temp_coldest_month",0.66142700939373,4.42727340361421e-62
"Temp_seasonality",0.637871882829481,1.56783436315074e-56
"Prec_seasonality",0.61287879323359,3.77742804445837e-51
"Mean_Diurnal_Range",0.611814957584851,6.2468828273225e-51
"Prec_wettest_quarter",-0.144106177691331,0.00149608113403945
"Annual_Precipitation",-0.323239669378366,3.29138434989935e-13
"Prec_warmest_quarter",-0.441277112834388,1.95798120882459e-24
"Isothermality",-0.453344699237632,7.42286993447486e-26
"Prec_driest_month",-0.498157878395824,1.17106390872168e-31
"Prec_drier_quarter",-0.556197514903423,1.42600972547429e-40
"Prec_coldest_quarter",-0.658188489748319,2.74645362221792e-61
